,event_id,investigation_type,event_date,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,event_year,injuries_reported,weather_condition_numeric,accident_count
29671,20001211X14031,Accident,1992-01-01,United States,Non-Fatal,Substantial,,cessna,182Q,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Approach,1992,True,1.0,1
29674,20001211X13995,Accident,1992-01-02,United States,Fatal(2),Destroyed,,cessna,182R,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,UNK,Takeoff,1992,True,2.0,1
29675,20001211X13955,Accident,1992-01-02,United States,Fatal(1),Destroyed,,piper,PA-31P,No,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Maneuvering,1992,True,0.0,1
29678,20001211X13926,Accident,1992-01-02,United States,Non-Fatal,Substantial,,piper,PA-18,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Maneuvering,1992,True,1.0,1
29679,20001211X13978,Incident,1992-01-03,United States,Incident,Minor,,boeing,737-300,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,127.0,VMC,Climb,1992,True,1.0,1
29683,20001211X13996,Accident,1992-01-04,United States,Fatal(4),Destroyed,,cessna,421C,No,2.0,Reciprocating,Personal,4.0,2.0,0.0,0.0,IMC,Climb,1992,True,0.0,1
29685,20001211X13976,Accident,1992-01-04,United States,Fatal(3),Destroyed,,cessna,421B,No,2.0,Reciprocating,Personal,3.0,4.0,1.0,1.0,IMC,Descent,1992,True,0.0,1
29687,20001211X14047,Accident,1992-01-04,United States,Non-Fatal,Substantial,,piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Approach,1992,True,1.0,1
29692,20001211X13944,Accident,1992-01-04,United States,Non-Fatal,Substantial,,piper,PA-38-112,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Go-around,1992,True,1.0,1
29694,20001211X13948,Accident,1992-01-05,United States,Non-Fatal,Destroyed,,piper,PA-32R-300,No,1.0,Reciprocating,Personal,0.0,0.0,3.0,2.0,VMC,Takeoff,1992,True,1.0,1
29695,20001211X13954,Accident,1992-01-05,United States,Fatal(2),Substantial,,piper,PA-18-125,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Maneuvering,1992,True,1.0,1
29696,20001211X13927,Accident,1992-01-06,United States,Non-Fatal,Substantial,,cessna,180,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,1992,True,1.0,1
29699,20001211X13945,Accident,1992-01-06,United States,Non-Fatal,Substantial,,piper,PA-28-151,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Approach,1992,True,1.0,1
29700,20001211X13985,Incident,1992-01-07,United States,Incident,Minor,,boeing,737-232,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,49.0,VMC,Takeoff,1992,True,1.0,1
29703,20001211X13933,Accident,1992-01-08,United States,Fatal(1),,,cessna,177B,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,2.0,IMC,Standing,1992,True,0.0,1
29704,20001211X13928,Accident,1992-01-08,United States,Non-Fatal,Substantial,,cessna,206,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,1992,True,1.0,1
29705,20001211X14007,Accident,1992-01-08,United States,Non-Fatal,Substantial,,cessna,172H,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,1992,True,1.0,1
29706,20001211X14022,Accident,1992-01-09,Japan,Non-Fatal,,,boeing,747-100,No,4.0,Turbo Fan,Unknown,0.0,1.0,0.0,234.0,VMC,,1992,True,1.0,1
29707,20001211X14052,Accident,1992-01-09,United States,Non-Fatal,Substantial,,cessna,207,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Descent,1992,True,1.0,1
29708,20001211X13929,Accident,1992-01-09,United States,Non-Fatal,Substantial,,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,1992,True,1.0,1
29709,20001211X13960,Accident,1992-01-10,United States,Non-Fatal,Substantial,,cessna,182,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,1992,True,1.0,1
29710,20001211X14024,Accident,1992-01-11,United States,Fatal(2),Destroyed,,cessna,150L,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Maneuvering,1992,True,1.0,1
29711,20001211X14023,Accident,1992-01-11,United States,Fatal(1),Destroyed,,cessna,402B,No,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Cruise,1992,True,1.0,1
29712,20001211X13998,Accident,1992-01-11,United States,Fatal(7),Destroyed,,cessna,425,No,2.0,Turbo Prop,Personal,7.0,0.0,0.0,0.0,VMC,Cruise,1992,True,1.0,1
29714,20001211X14014,Accident,1992-01-11,United States,Non-Fatal,Substantial,,cessna,T210M,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Taxi,1992,True,1.0,1
29719,20001211X13934,Accident,1992-01-11,United States,Non-Fatal,Substantial,,cessna,172G,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Cruise,1992,True,1.0,1
29722,20001211X14009,Accident,1992-01-12,United States,Non-Fatal,Substantial,,cessna,172N,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,IMC,Cruise,1992,True,0.0,1
29725,20001211X13936,Accident,1992-01-12,United States,Non-Fatal,Substantial,,piper,PA-22-150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1992,True,1.0,1
29726,20001211X13931,Accident,1992-01-13,ATLANTIC OCEAN,Fatal(5),Destroyed,,cessna,421C,No,2.0,Reciprocating,Personal,5.0,0.0,0.0,0.0,IMC,Cruise,1992,True,0.0,1
29727,20001211X14034,Accident,1992-01-13,ATLANTIC OCEAN,Fatal(1),Substantial,,cessna,172G,No,1.0,Reciprocating,Public Aircraft,1.0,0.0,1.0,0.0,VMC,Cruise,1992,True,1.0,1
29728,20001211X14025,Accident,1992-01-13,United States,Fatal(2),Destroyed,,piper,PA-28-161,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Cruise,1992,True,1.0,1
29729,20001211X13999,Accident,1992-01-13,United States,Fatal(2),Destroyed,,cessna,T210L,No,1.0,Reciprocating,Unknown,2.0,3.0,0.0,0.0,VMC,Cruise,1992,True,1.0,1
29730,20001211X14049,Accident,1992-01-13,United States,Non-Fatal,Substantial,,cessna,150L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,1992,True,1.0,1
29731,20001211X13961,Accident,1992-01-13,United States,Non-Fatal,Substantial,,piper,PA-23-150,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,1992,True,1.0,1
29732,20001211X13947,Accident,1992-01-13,United States,Non-Fatal,Substantial,,piper,PA-46-350P,No,1.0,Reciprocating,Business,0.0,0.0,0.0,4.0,IMC,Takeoff,1992,True,0.0,1
29734,20001211X14010,Accident,1992-01-14,United States,Fatal(5),Destroyed,,cessna,310Q,No,2.0,Reciprocating,Personal,5.0,0.0,0.0,0.0,IMC,Cruise,1992,True,0.0,1
29736,20001211X13988,Accident,1992-01-14,United States,Non-Fatal,Substantial,,cessna,205A,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Cruise,1992,True,1.0,1
29738,20001211X13924,Incident,1992-01-15,United States,Incident,Minor,,cessna,207,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,6.0,VMC,Takeoff,1992,True,1.0,1
29741,20001211X13932,Accident,1992-01-16,United States,Fatal(2),Substantial,,cessna,140,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Takeoff,1992,True,1.0,1
29742,20001211X13949,Accident,1992-01-17,United States,Non-Fatal,Substantial,,cessna,182-D,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,1992,True,1.0,1
29747,20001211X13972,Accident,1992-01-18,United States,Non-Fatal,Substantial,,cessna,182P,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1992,True,1.0,1
29748,20001211X13963,Accident,1992-01-18,United States,Non-Fatal,Substantial,,cessna,177RG,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Takeoff,1992,True,1.0,1
29749,20001211X14045,Incident,1992-01-19,United States,Incident,Minor,,piper,PA-28R-200,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,3.0,VMC,Cruise,1992,True,1.0,1
29751,20001211X13973,Accident,1992-01-19,United States,Non-Fatal,Substantial,,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,1992,True,1.0,1
